Sector,avg_last_8yrs
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",4970.18
TELECOMMUNICATIONS,2199.36
COMPUTER SOFTWARE & HARDWARE,1989.04
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",1726.91
AUTOMOBILE INDUSTRY,1671.88
TRADING,1617.55
CHEMICALS (OTHER THAN FERTILIZERS),1433.18
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,1174.61
DRUGS & PHARMACEUTICALS,1145.87
HOTEL & TOURISM,1103.15
POWER,1060.82
METALLURGICAL INDUSTRIES,949.23
FOOD PROCESSING INDUSTRIES,846.38
MISCELLANEOUS INDUSTRIES,733.27
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),649.06
ELECTRICAL EQUIPMENTS,628.64
NON-CONVENTIONAL ENERGY,623.24
PETROLEUM & NATURAL GAS,567.68
INDUSTRIAL MACHINERY,503.25
HOSPITAL & DIAGNOSTIC CENTRES,462.63
CEMENT AND GYPSUM PRODUCTS,445.57
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,329.71
CONSULTANCY SERVICES,321.37
SEA TRANSPORT,287.18
RUBBER GOODS,260.6
"TEXTILES (INCLUDING DYED,PRINTED)",224.17
AGRICULTURE SERVICES,223.58
MINING,216
FERMENTATION INDUSTRIES,212.48
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),199.22
MEDICAL AND SURGICAL APPLIANCES,174.57
EDUCATION,138.87
"SOAPS, COSMETICS & TOILET PREPARATIONS",135.14
RETAIL TRADING,123.4
ELECTRONICS,108.29
PAPER AND PULP (INCLUDING PAPER PRODUCTS),107.66
AIR TRANSPORT (INCLUDING AIR FREIGHT),96.57
RAILWAY RELATED COMPONENTS,88.18
"DIAMOND,GOLD ORNAMENTS",80.6
VEGETABLE OILS AND VANASPATI,76.72
MACHINE TOOLS,76.7
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),66.4
GLASS,51.77
FERTILIZERS,46.16
CERAMICS,35.67
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",32.01
EARTH-MOVING MACHINERY,31.67
AGRICULTURAL MACHINERY,31.66
SCIENTIFIC INSTRUMENTS,30.41
BOILERS AND STEAM GENERATING PLANTS,23.72
SUGAR,21.2
TIMBER PRODUCTS,18.18
"LEATHER,LEATHER GOODS AND PICKERS",16.14
GLUE AND GELATIN,14.99
DYE-STUFFS,9.86
PORTS,9.82
INDUSTRIAL INSTRUMENTS,5.91
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),3.36
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0.84
DEFENCE INDUSTRIES,0.63
COIR,0.37
COAL PRODUCTION,0.37
PHOTOGRAPHIC RAW FILM AND PAPER,0.2
