Sector,Average_by_sector
METALLURGICAL INDUSTRIES,607.68
MINING,133.64
POWER,681.71
NON-CONVENTIONAL ENERGY,304.79
COAL PRODUCTION,1.63
PETROLEUM & NATURAL GAS,403.30
BOILERS AND STEAM GENERATING PLANTS,11.48
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),102.24
ELECTRICAL EQUIPMENTS,386.32
COMPUTER SOFTWARE & HARDWARE,1451.15
ELECTRONICS,101.18
TELECOMMUNICATIONS,1408.59
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),381.98
AUTOMOBILE INDUSTRY,980.82
AIR TRANSPORT (INCLUDING AIR FREIGHT),59.67
SEA TRANSPORT,159.56
PORTS,96.31
RAILWAY RELATED COMPONENTS,46.97
INDUSTRIAL MACHINERY,258.46
MACHINE TOOLS,50.70
AGRICULTURAL MACHINERY,26.42
EARTH-MOVING MACHINERY,22.91
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,194.90
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",20.79
MEDICAL AND SURGICAL APPLIANCES,92.76
INDUSTRIAL INSTRUMENTS,4.48
SCIENTIFIC INSTRUMENTS,15.00
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0.47
FERTILIZERS,33.28
CHEMICALS (OTHER THAN FERTILIZERS),781.95
PHOTOGRAPHIC RAW FILM AND PAPER,3.96
DYE-STUFFS,5.20
DRUGS & PHARMACEUTICALS,865.11
"TEXTILES (INCLUDING DYED,PRINTED)",145.38
PAPER AND PULP (INCLUDING PAPER PRODUCTS),75.97
SUGAR,12.03
FERMENTATION INDUSTRIES,146.34
FOOD PROCESSING INDUSTRIES,443.70
VEGETABLE OILS AND VANASPATI,41.03
"SOAPS, COSMETICS & TOILET PREPARATIONS",70.82
RUBBER GOODS,138.06
"LEATHER,LEATHER GOODS AND PICKERS",9.84
GLUE AND GELATIN,7.55
GLASS,32.44
CERAMICS,44.71
CEMENT AND GYPSUM PRODUCTS,308.19
TIMBER PRODUCTS,9.28
DEFENCE INDUSTRIES,0.30
CONSULTANCY SERVICES,212.81
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",3498.62
HOSPITAL & DIAGNOSTIC CENTRES,255.26
EDUCATION,83.31
HOTEL & TOURISM,596.67
TRADING,835.93
RETAIL TRADING,58.15
AGRICULTURE SERVICES,112.99
"DIAMOND,GOLD ORNAMENTS",52.70
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),6.54
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),37.33
COIR,0.24
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,577.50
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",1429.01
MISCELLANEOUS INDUSTRIES,590.79
