Sector,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,avg_last_17yrs,avg_last_15yrs,avg_last_12yrs,avg_last_10yrs,avg_last_8yrs,avg_last_5yrs,avg_last_3yrs,avg_last_2yrs,Sum_in_million_USD
METALLURGICAL INDUSTRIES,22.69,14.14,36.61,8.11,200.38,149.13,169.94,1175.75,959.94,419.88,1098.14,1786.14,1466.23,567.63,359.34,456.31,1440.18,607.68,686.25,837.38,972.95,949.23,857.94,751.94,948.24,10330.54
MINING,1.32,6.52,10.06,23.48,9.92,7.4,6.62,444.36,34.16,174.4,79.51,142.65,57.89,12.73,684.39,520.67,55.75,133.64,150.93,185.04,220.65,216,266.29,420.27,288.21,2271.83
POWER,89.42,757.44,59.11,27.09,43.37,72.69,157.15,988.68,907.66,1271.79,1271.77,1652.38,535.68,1066.08,707.04,868.8,1112.98,681.71,716.15,884.39,1038.29,1060.82,858.12,896.27,990.89,11589.13
NON-CONVENTIONAL ENERGY,0,0,1.7,4.14,1.27,1.35,2.44,58.82,125.88,622.52,214.4,452.17,1106.52,414.25,615.95,776.51,783.57,304.79,345.43,431.2,517.06,623.24,739.36,725.34,780.04,5181.49
COAL PRODUCTION,0,0,0,0.04,0,9.14,1.3,14.08,0.22,0,0,0,0,2.96,0,0,0,1.63,1.85,2.31,1.73,0.37,0.59,0,0,27.74
PETROLEUM & NATURAL GAS,9.35,211.07,56.78,80.64,102.78,12.09,87.71,1405.04,349.29,265.53,556.43,2029.98,214.8,112.23,1079.02,103.02,180.4,403.3,442.38,532.96,629.57,567.68,337.89,454.15,141.71,6856.16
BOILERS AND STEAM GENERATING PLANTS,0,0,0,0.04,0.54,0,3.31,1.51,0,3.96,0.63,31.79,20.05,0.17,1.33,77.91,53.91,11.48,13.01,16.21,19.13,23.72,30.67,44.38,65.91,195.15
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),0,0,0,0,2.66,0.74,25.57,40.53,74.88,39.5,166.44,313.75,184.6,212.78,230.7,159.13,286.88,102.24,115.88,144.62,170.92,199.22,214.82,225.57,223,1738.16
ELECTRICAL EQUIPMENTS,79.76,65.76,34.71,73.2,97.4,39.5,76.85,653.74,417.35,728.27,153.9,566.39,195.87,134.31,574.83,444.88,2230.69,386.32,428.13,518.05,610.02,628.64,716.12,1083.47,1337.78,6567.41
COMPUTER SOFTWARE & HARDWARE,228.39,419.39,314.24,368.32,527.9,1359.97,2613.33,1382.25,1543.34,871.86,779.81,796.35,485.96,1126.27,2296.04,5904.36,3651.71,1451.15,1601.45,1900.94,1883.8,1989.04,2692.87,3950.7,4778.04,24669.49
ELECTRONICS,8.34,12.47,295.88,82.31,88.1,40.91,42.14,136.03,147.51,52.14,59.72,194.41,38.24,132.58,96.84,208.39,83.97,101.18,113.28,102.74,114.98,108.29,112,129.73,146.18,1719.98
TELECOMMUNICATIONS,177.69,873.23,191.6,86.49,118.33,617.98,476.51,1260.7,2548.63,2539.26,1664.5,1997.24,303.87,1306.95,2894.94,1324.4,5563.69,1408.59,1526.34,1874.89,2140.42,2199.36,2278.77,3261.01,3444.04,23946.01
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),81.5,4.54,36.5,13.72,9.85,55.93,75.7,288.49,735.04,490.83,412.11,675.96,404.04,428.52,254.96,1009.34,1516.68,381.98,427.18,528.97,621.6,649.06,722.71,926.99,1263.01,6493.71
AUTOMOBILE INDUSTRY,195.33,235.76,419.96,119.09,121.97,139.93,260.72,656.1,1150.03,1236.29,1299.41,922.99,1537.28,1517.28,2725.64,2526.82,1609.32,980.82,1082.86,1298.48,1518.12,1671.88,1983.27,2287.26,2068.07,16673.92
AIR TRANSPORT (INCLUDING AIR FREIGHT),0,0,3.8,0.94,4.11,10.27,62.29,99.08,61.37,23.71,136.6,31.22,15.89,45.95,74.56,361.25,83.4,59.67,67.63,83.8,93.3,96.57,116.21,173.07,222.32,1014.44
SEA TRANSPORT,2.41,19.81,29.32,21.95,36.95,53.63,72.52,128.36,50.21,284.85,300.51,129.36,64.62,20.49,333.22,429.3,735.06,159.56,179.36,216.84,247.6,287.18,316.54,499.19,582.18,2712.57
