Sector,sum_in_million_USD
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",59476.49
COMPUTER SOFTWARE & HARDWARE,24669.49
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",24293.09
TELECOMMUNICATIONS,23946.01
AUTOMOBILE INDUSTRY,16673.92
DRUGS & PHARMACEUTICALS,14706.9
TRADING,14210.88
CHEMICALS (OTHER THAN FERTILIZERS),13293.09
POWER,11589.13
METALLURGICAL INDUSTRIES,10330.54
HOTEL & TOURISM,10143.46
MISCELLANEOUS INDUSTRIES,10043.45
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,9817.47
FOOD PROCESSING INDUSTRIES,7542.92
PETROLEUM & NATURAL GAS,6856.16
ELECTRICAL EQUIPMENTS,6567.41
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),6493.71
CEMENT AND GYPSUM PRODUCTS,5239.23
NON-CONVENTIONAL ENERGY,5181.49
INDUSTRIAL MACHINERY,4393.88
HOSPITAL & DIAGNOSTIC CENTRES,4339.49
CONSULTANCY SERVICES,3617.73
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,3313.33
SEA TRANSPORT,2712.57
FERMENTATION INDUSTRIES,2487.81
"TEXTILES (INCLUDING DYED,PRINTED)",2471.41
RUBBER GOODS,2347.02
MINING,2271.83
AGRICULTURE SERVICES,1920.75
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),1738.16
ELECTRONICS,1719.98
PORTS,1637.28
MEDICAL AND SURGICAL APPLIANCES,1576.84
EDUCATION,1416.2
PAPER AND PULP (INCLUDING PAPER PRODUCTS),1291.44
"SOAPS, COSMETICS & TOILET PREPARATIONS",1203.91
AIR TRANSPORT (INCLUDING AIR FREIGHT),1014.44
RETAIL TRADING,988.57
"DIAMOND,GOLD ORNAMENTS",895.95
MACHINE TOOLS,861.83
RAILWAY RELATED COMPONENTS,798.55
CERAMICS,760.12
VEGETABLE OILS AND VANASPATI,697.5
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),634.66
FERTILIZERS,565.69
GLASS,551.45
AGRICULTURAL MACHINERY,449.2
EARTH-MOVING MACHINERY,389.39
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",353.47
SCIENTIFIC INSTRUMENTS,254.93
SUGAR,204.43
BOILERS AND STEAM GENERATING PLANTS,195.15
"LEATHER,LEATHER GOODS AND PICKERS",167.2
TIMBER PRODUCTS,157.68
GLUE AND GELATIN,128.39
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),111.22
DYE-STUFFS,88.4
INDUSTRIAL INSTRUMENTS,76.12
PHOTOGRAPHIC RAW FILM AND PAPER,67.28
COAL PRODUCTION,27.74
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",7.98
DEFENCE INDUSTRIES,5.12
COIR,4.06
