Year,Sector,FDI Amount
2000-01,METALLURGICAL INDUSTRIES,22.69
2001-02,METALLURGICAL INDUSTRIES,14.14
2002-03,METALLURGICAL INDUSTRIES,36.61
2003-04,METALLURGICAL INDUSTRIES,8.11
2004-05,METALLURGICAL INDUSTRIES,200.38
2005-06,METALLURGICAL INDUSTRIES,149.13
2006-07,METALLURGICAL INDUSTRIES,169.94
2007-08,METALLURGICAL INDUSTRIES,1175.75
2008-09,METALLURGICAL INDUSTRIES,959.94
2009-10,METALLURGICAL INDUSTRIES,419.88
2010-11,METALLURGICAL INDUSTRIES,1098.14
2011-12,METALLURGICAL INDUSTRIES,1786.14
2012-13,METALLURGICAL INDUSTRIES,1466.23
2013-14,METALLURGICAL INDUSTRIES,567.63
2014-15,METALLURGICAL INDUSTRIES,359.34
2015-16,METALLURGICAL INDUSTRIES,456.31
2016-17,METALLURGICAL INDUSTRIES,1440.18
2000-01,MINING,1.32
2001-02,MINING,6.52
2002-03,MINING,10.06
2003-04,MINING,23.48
2004-05,MINING,9.92
2005-06,MINING,7.4
2006-07,MINING,6.62
2007-08,MINING,444.36
2008-09,MINING,34.16
2009-10,MINING,174.4
2010-11,MINING,79.51
2011-12,MINING,142.65
2012-13,MINING,57.89
2013-14,MINING,12.73
2014-15,MINING,684.39
2015-16,MINING,520.67
2016-17,MINING,55.75
2000-01,POWER,89.42
2001-02,POWER,757.44
2002-03,POWER,59.11
2003-04,POWER,27.09
2004-05,POWER,43.37
2005-06,POWER,72.69
2006-07,POWER,157.15
2007-08,POWER,988.68
2008-09,POWER,907.66
2009-10,POWER,1271.79
2010-11,POWER,1271.77
2011-12,POWER,1652.38
2012-13,POWER,535.68
2013-14,POWER,1066.08
2014-15,POWER,707.04
2015-16,POWER,868.8
2016-17,POWER,1112.98
2000-01,NON-CONVENTIONAL ENERGY,0
2001-02,NON-CONVENTIONAL ENERGY,0
2002-03,NON-CONVENTIONAL ENERGY,1.7
2003-04,NON-CONVENTIONAL ENERGY,4.14
2004-05,NON-CONVENTIONAL ENERGY,1.27
2005-06,NON-CONVENTIONAL ENERGY,1.35
2006-07,NON-CONVENTIONAL ENERGY,2.44
2007-08,NON-CONVENTIONAL ENERGY,58.82
2008-09,NON-CONVENTIONAL ENERGY,125.88
2009-10,NON-CONVENTIONAL ENERGY,622.52
2010-11,NON-CONVENTIONAL ENERGY,214.4
2011-12,NON-CONVENTIONAL ENERGY,452.17
2012-13,NON-CONVENTIONAL ENERGY,1106.52
2013-14,NON-CONVENTIONAL ENERGY,414.25
2014-15,NON-CONVENTIONAL ENERGY,615.95
2015-16,NON-CONVENTIONAL ENERGY,776.51
2016-17,NON-CONVENTIONAL ENERGY,783.57
2000-01,COAL PRODUCTION,0
2001-02,COAL PRODUCTION,0
2002-03,COAL PRODUCTION,0
2003-04,COAL PRODUCTION,0.04
2004-05,COAL PRODUCTION,0
2005-06,COAL PRODUCTION,9.14
2006-07,COAL PRODUCTION,1.3
2007-08,COAL PRODUCTION,14.08
2008-09,COAL PRODUCTION,0.22
2009-10,COAL PRODUCTION,0
2010-11,COAL PRODUCTION,0
2011-12,COAL PRODUCTION,0
2012-13,COAL PRODUCTION,0
2013-14,COAL PRODUCTION,2.96
2014-15,COAL PRODUCTION,0
2015-16,COAL PRODUCTION,0
2016-17,COAL PRODUCTION,0
2000-01,PETROLEUM & NATURAL GAS,9.35
2001-02,PETROLEUM & NATURAL GAS,211.07
2002-03,PETROLEUM & NATURAL GAS,56.78
2003-04,PETROLEUM & NATURAL GAS,80.64
2004-05,PETROLEUM & NATURAL GAS,102.78
2005-06,PETROLEUM & NATURAL GAS,12.09
2006-07,PETROLEUM & NATURAL GAS,87.71
2007-08,PETROLEUM & NATURAL GAS,1405.04
2008-09,PETROLEUM & NATURAL GAS,349.29
2009-10,PETROLEUM & NATURAL GAS,265.53
2010-11,PETROLEUM & NATURAL GAS,556.43
2011-12,PETROLEUM & NATURAL GAS,2029.98
2012-13,PETROLEUM & NATURAL GAS,214.8
2013-14,PETROLEUM & NATURAL GAS,112.23
2014-15,PETROLEUM & NATURAL GAS,1079.02
2015-16,PETROLEUM & NATURAL GAS,103.02
2016-17,PETROLEUM & NATURAL GAS,180.4
2000-01,BOILERS AND STEAM GENERATING PLANTS,0
2001-02,BOILERS AND STEAM GENERATING PLANTS,0
2002-03,BOILERS AND STEAM GENERATING PLANTS,0
2003-04,BOILERS AND STEAM GENERATING PLANTS,0.04
2004-05,BOILERS AND STEAM GENERATING PLANTS,0.54
2005-06,BOILERS AND STEAM GENERATING PLANTS,0
2006-07,BOILERS AND STEAM GENERATING PLANTS,3.31
2007-08,BOILERS AND STEAM GENERATING PLANTS,1.51
2008-09,BOILERS AND STEAM GENERATING PLANTS,0
2009-10,BOILERS AND STEAM GENERATING PLANTS,3.96
2010-11,BOILERS AND STEAM GENERATING PLANTS,0.63
2011-12,BOILERS AND STEAM GENERATING PLANTS,31.79
2012-13,BOILERS AND STEAM GENERATING PLANTS,20.05
2013-14,BOILERS AND STEAM GENERATING PLANTS,0.17
2014-15,BOILERS AND STEAM GENERATING PLANTS,1.33
2015-16,BOILERS AND STEAM GENERATING PLANTS,77.91
2016-17,BOILERS AND STEAM GENERATING PLANTS,53.91
2000-01,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),0
2001-02,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),0
2002-03,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),0
2003-04,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),0
2004-05,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2.66
2005-06,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),0.74
