Year,Date,RoundID,Stage,MatchID,Country,City,Stadium,Home_Team_Name,Home_Team_Initials,Half_Time_Home_Goals,Home_Team_Goals,Away_Team_Name,Away_Team_Initials,Half_Time_Away_Goals,Away_Team_Goals,Half_Time_Goals,Goals,Outcome_Of_The_Match,Win_Conditions,Attendance,Referee,Assistant_1,Assistant_2
1930,13-07-1930,201,Group 1,1096,France,Montevideo ,Pocitos,France,FRA,3,4,Mexico,MEX,0,1,3,5,Home_Team_Win, ,4444,LOMBARDI Domingo (URU),CRISTOPHE Henry (BEL),REGO Gilberto (BRA)
1930,13-07-1930,201,Group 4,1090,USA,Montevideo ,Parque Central,USA,USA,2,3,Belgium,BEL,0,0,2,3,Home_Team_Win, ,18346,MACIAS Jose (ARG),MATEUCCI Francisco (URU),WARNKEN Alberto (CHI)
1930,14-07-1930,201,Group 2,1093,Yugoslavia,Montevideo ,Parque Central,Yugoslavia,YUG,2,2,Brazil,BRA,0,1,2,3,Home_Team_Win, ,24059,TEJADA Anibal (URU),VALLARINO Ricardo (URU),BALWAY Thomas (FRA)
1930,14-07-1930,201,Group 3,1098,Romania,Montevideo ,Pocitos,Romania,ROU,1,3,Peru,PER,0,1,1,4,Home_Team_Win, ,2549,WARNKEN Alberto (CHI),LANGENUS Jean (BEL),MATEUCCI Francisco (URU)
1930,15-07-1930,201,Group 1,1085,Argentina,Montevideo ,Parque Central,Argentina,ARG,0,1,France,FRA,0,0,0,1,Home_Team_Win, ,23409,REGO Gilberto (BRA),SAUCEDO Ulises (BOL),RADULESCU Constantin (ROU)
1930,16-07-1930,201,Group 1,1095,Chile,Montevideo ,Parque Central,Chile,CHI,1,3,Mexico,MEX,0,0,1,3,Home_Team_Win, ,9249,CRISTOPHE Henry (BEL),APHESTEGUY Martin (URU),LANGENUS Jean (BEL)
1930,17-07-1930,201,Group 2,1092,Yugoslavia,Montevideo ,Parque Central,Yugoslavia,YUG,0,4,Bolivia,BOL,0,0,0,4,Home_Team_Win, ,18306,MATEUCCI Francisco (URU),LOMBARDI Domingo (URU),WARNKEN Alberto (CHI)
1930,17-07-1930,201,Group 4,1097,USA,Montevideo ,Parque Central,USA,USA,2,3,Paraguay,PAR,0,0,2,3,Home_Team_Win, ,18306,MACIAS Jose (ARG),APHESTEGUY Martin (URU),TEJADA Anibal (URU)
1930,18-07-1930,201,Group 3,1099,Uruguay,Montevideo ,Estadio Centenario,Uruguay,URU,0,1,Peru,PER,0,0,0,1,Home_Team_Win, ,57735,LANGENUS Jean (BEL),BALWAY Thomas (FRA),CRISTOPHE Henry (BEL)
1930,19-07-1930,201,Group 1,1094,Chile,Montevideo ,Estadio Centenario,Chile,CHI,0,1,France,FRA,0,0,0,1,Home_Team_Win, ,2000,TEJADA Anibal (URU),LOMBARDI Domingo (URU),REGO Gilberto (BRA)
